Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"","","Final Evaluation Report","Documents","FFP-A-00-04-00001-00","","1/1/2009 12:00:00 AM","","Food for Peace Title II|Disadvantaged groups|Small farms|Farm income|Dairy farms|Dairy cattle|Farmer training|Food security|Milk products|Transportation aspects","Zambia","http://pdf.usaid.gov/pdf_docs/PDACM615.pdf","5,172 KB","005829 - Land O'Lakes, Inc.","","010990 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Food for Peace (FFP)","English","application/pdf","Final evaluation|Milk collection centers","","Swanson, Richard","Food aid programs","Jan 2009","","","","Final evaluation of Land O'Lakes Zambia Title II development assistance program (March 1, 2004-September 30, 2009) : dairy development FFP DAP for vulnerable populations in Zambia (TA no. FFP-A-00-04-00001-00)","","PD-ACM-615","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA1MDUx","Zambia",""
"","Evaluated project title: Access to justice (ATJ)|Evaluated project title: Justice institutions strengthening program|(JISP)","Special Evaluation","Documents","","","1/1/2009 12:00:00 AM","","Rule of law|Administration of law|Democracy|Judicial reform|Political corruption|Law enforcement|Legal reform|Institution building|Local level|Legal aid|Alternative dispute resolution|Public awareness|Access to justice","Timor-Leste","http://pdf.usaid.gov/pdf_docs/PDACM677.pdf","270 KB","011939 - USAID. Mission to East Timor","","","English","application/pdf","Interim evaluation","","Chopra, Tanja|Pologruto, Susan|Deus, Timotio de","Rule of law","Jan 2009","","","","Fostering justice in Timor-Leste : rule of law program evaluation","","PD-ACM-677","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA1MTk1","East Timor",""
"","Project title: Child survival and health grants program (CSHGP)|Footer title: CS-19 Afghanistan final evaluation","Final Evaluation Report","Documents","GHS-A-00-03-00011-00","","1/1/2009 12:00:00 AM","","","Afghanistan","http://pdf.usaid.gov/pdf_docs/PDACM809.pdf","1,659 KB","001407 - Save the Children (U.S.)","","011222 - USAID. Bur. for Global Health. Ofc. of Health, Infectious Diseases, and Nutrition","English","application/pdf","","","Kittle, Bonnie|Sadruddin, Salim|Ihsan, Tariq","Child survival","15 Jan 2009","","","","Final evaluation : provincial strengthening in northern Afghanistan : capacity building and innovation to support the basic package of health services and sustainably improve access, quality and use of essential MCH services throughout Jawzjan Province -- cooperative agreement no. GHS-A-00-03-00011-00, October 1, 2003-September 30, 2008","","PD-ACM-809","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA1NTA1","Afghanistan","9363114"
"","'Nov 1-Dec 13, 2008'|Funding mechanisms as written on document: USAID contract no.|GS-10F-0425M -- USAID order no. 306-M-00-07-00502-00 -- USAID task|order no. 2007-012|Evaluated project title: Communications for behavioral change:|expanding access to private sector health products and services for|Afghanistan (COMPRI-A)|Project title: Services under program and project offices for","Special Evaluation","Documents","306-M-00-07-00502-00","","1/1/2009 12:00:00 AM","","Private health care|Partnerships|Maternal child health care|Family planning|Indigenous private voluntary organizations|Community health workers|Private sector|Access to services|Social marketing|Networks|Human capacity development|Behavior change|IEC|KAP surveys|Local capacity building|Public-private partnerships","Afghanistan","http://pdf.usaid.gov/pdf_docs/PDACM815.pdf","273 KB","000356 - Checchi and Co. Consulting, Inc.","","008504 - USAID. Mission to Afghanistan","English","application/pdf","Interim evaluation","","Pollard, Richard|Davies, John","Private health care","[2009?]","","","","Evaluation of the COMPRI-A social marketing program by USAID in the Islamic Republic of Afghanistan","","PD-ACM-815","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA1NTE0","Afghanistan",""
"","'Nov 30, 2008-Jan 17, 2009'|Funding mechanisms as written on document: USAID contract no.|GS-10F-0425M -- USAID order no. 306-M-00-07-00502-00 -- USAID task|order no. 2007-012|Project title: Services under program and project offices for","Special Evaluation","Documents","306-M-00-07-00502-00","","1/1/2009 12:00:00 AM","","Rural areas|Local level|Governance|Community development|Impact assessment|Technical assistance|Human capacity development|Development strategies|Local capacity building|Political stability|Needs assessments","Afghanistan","http://pdf.usaid.gov/pdf_docs/PDACM816.pdf","194 KB","000356 - Checchi and Co. Consulting, Inc.","","008504 - USAID. Mission to Afghanistan","English","application/pdf","Interim evaluation","","Austin, Bradley|Dvorak-Little, Elizabeth|Joseph, Edward","Rural areas / rural development","Jan 2009","","","","Local governance and community development program (LGCD) evaluation","","PD-ACM-816","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA1NTE2","Afghanistan",""
"","","Special Evaluation","Documents","REE-A-00-07-00037-00","","1/1/2009 12:00:00 AM","","Development program evaluation|Technical training|Information technology|Civil society|Information networking|Internet","Central and Eastern Europe","http://pdf.usaid.gov/pdf_docs/PDACM929.pdf","240 KB","000266 - International Research and Exchanges Board (IREX)","","011586 - USAID. Bur. for Europe and Eurasia. Ofc. of Democracy, Governance and Social Transition","English","application/pdf","Interim evaluation","","","Information management, systems and equipment","[2009]","","","","Internet access and training program : interim monitoring and evaluation report for the period June 2007-December 2008","","PD-ACM-929","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA1OTQy","",""
"","Special objective title: Southern border integration special|objective (SpO 11)","Final Evaluation Report","Documents","","","4/1/2009 12:00:00 AM","","Socioeconomic development|Natural resource management|Community participation|Regional trade|Access to services|Policy reform","Ecuador|Peru","http://pdf.usaid.gov/pdf_docs/PDACN086.pdf","261 KB","008538 - USAID. Mission to Ecuador","","","English","application/pdf","","","","Socioeconomic development","20 Apr 2009","","","","Ecuador southern border integration special objective (SpO #11) : close-out report","","PD-ACN-086","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA2MzUz","Ecuador",""
"","","Special Evaluation","Documents","","","5/1/2009 12:00:00 AM","","Human rights|Violence|Gender analysis|Women|Access to services|Human capacity development|Gender based violence|Violence against women","Congo DR","http://pdf.usaid.gov/pdf_docs/PDACN138.pdf","246 KB","000035 - U.S. Agency for International Development (USAID)","","","English","application/pdf","Violence against women","","Lockett, Danuta|Bolton, Paul","Gender based violence","8 May 2009","","","","Victims of Torture Fund evaluation of the IRC gender-based violence program in the Democratic Republic of the Congo","","PD-ACN-138","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA2NDU2","Congo DR",""
"The purpose of this study is to assess the implementation of Plan Colombia's illicit crop reduction strategies in order to examine the validity of the hypotheses on which crop reduction strategies were designed under Plan Colombia (PC), and to evaluate the effectiveness of the strategies used and the resource levels employed to implement those strategies.  The study is charged with identifying lessons learned from PC's approach, and alternative performance measures for coca control programs.  This assessment is also intended to explore new policy initiatives, providing recommendations to USAID/NAS Colombia for future interventions.  (Author abstract)","'MOBIS task order: 514-I-00-08-00308'","Special Evaluation","Documents","514-I-00-08-00308-00","","4/1/2009 12:00:00 AM","","Cash crops|Narcotics control|Coca|Poppies|Crop substitution|Sector policy|Strategic planning","Colombia","http://pdf.usaid.gov/pdf_docs/PDACN233.pdf","1,898 KB","003970 - Management Systems International, Inc. (MSI)","","008530 - USAID. Mission to Colombia","English","application/pdf","Plan Colombia|Interim evaluation","","Felbab-Brown, Vanda|Jutkowitz, Joel M.|et al.","Cash crops","17 Apr 2009","","","","Assessment of the implementation of the United States Government's support for Plan Colombia's illicit crop reduction components","","PD-ACN-233","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA2OTQ3","Colombia",""
"","'Assessment report'|Another ed. known as: Colombia's Plan de consolidacion integral de|la Macarena : an assessment / CSIS, Jun 2009","Special Evaluation","Documents","","","4/1/2009 12:00:00 AM","","Governance|Rule of law|Disarmament|Security|Conflict prevention|Civil society|Law enforcement|Economic development","Colombia","http://pdf.usaid.gov/pdf_docs/PDACN234.pdf","285 KB","001191 - Center for Strategic and International Studies (CSIS)","","010972 - USAID. Bur. for Democracy, Conflict and Humanitarian Assistance. Ofc. of Transition Initiatives (OTI)","English","application/pdf","","","DeShazo, Peter|McLean, Phillip|Mendelson Forman, Johanna","Governance","22 Apr 2009","","","","Assessment of the Government of Colombia project : Plan de consolidacion integral de la Macarena (PCIM)","","PD-ACN-234","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzA2OTQ4","Colombia",""
