Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,Unique_ID,URI,USAID_Geography,USAID_Project_Number
"THE EVALUATION TEAM CONSIDERS THE ORIGINAL PROJECT DESIGN AND RATIONALE, IN TERMS OF INPUTS PROVIDED, OUTPUTS EXPECTED,AND PROJECT PURPOSE, TO BE GENERALLY SATISFACTORY. THEY DO NOT CONSIDER THE STATED GOALS OR THE ESTABLISHMENT OF EVALUATION TARGETS AT THE GOAL LEVEL TO BE REALISTIC IN RELATION TO THE SIZE AND NATURE OF THE INPUTS. GIVEN THE DOMINANCE OF INTERVENING VARIABLES EXTERNAL TO THE PROJECT, IT IS DIFFICULT TO ESTABLISH A CAUSE AND EFFECT RELATIONSHIP BETWEEN PROJECT OUTPUTS AND THE GOAL INDICATORS. ON-GOING RESEARCH PROJECTS ARE GENERALLY WELL-RECEIVED IN TERMS OF THEIR PROJECT PURPOSES, AND MANY TREAT PRIORITY AREAS OF IMPROVED NUTRITION AND PASTURE MANAGEMENT. A SIGNIFICANT NUMBER OF FIELD DAYS AND TRAINING COURSES HAVE BEEN HELD AND DEMONSTRATION PLOTS ESTABLISHED.  HOWEVER, ORIENTATION OF EXTENSION STRATEGY SHOULD BE IMPROVED TO INCREASE THE MULTIPLIER EFFECT OF DISSEMINATING RESEARCH OUTPUT AND TO REACH THE SMALL AND MEDIUM RANCHER AND MIXED FARMER. THE EVALUATORS RECOMMENDED THAT THE PROJECT BE CONTINUED, BUT WITH SIGNIFICANT ADJUSTMENTS IN ORIENTATION, GOALS, ACHIEVEMENT MEASUREMENT, PURPOSE, AND COURSE OF ACTION, WHICH ARE DETAILED IN THE SPECIFIC RECOMMENDATIONS.","","Special Evaluation","Documents","AID/CM/OTR-C-73-198","","1/1/1974 12:00:00 AM","","Livestock|Animal husbandry|Agricultural extension|Agricultural research|Agricultural training|Educational materials|Institution building|Information dissemination|Associations|Participants|Project change","Paraguay","http://pdf.usaid.gov/pdf_docs/PNAAB102.pdf","3,025 KB","000256 - American Technical Assistance Corp. (ATAC)","","","English","application/pdf","Evaluation team","","Whittle, Boyd T.|Galli, Michael|et al.","Animal husbandry","1974","","Contract report no. OAD-CR-74","","Evaluation of livestock development project, final report","","PN-AAB-102","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU1ODQ4","Paraguay","526005003"
"Five Nigerian vocational schools in the Lagos area were visited to provide perspective for comparative purposes with the Opportunities Industrialization Centre, Lagos (OIC/L). All schools but one appeared to be providing adequate training for rapidly expanding Nigerian industrial skill needs. The exception, the Nigerian Army Resettlement Scheme (NARS), is coping with the special problem of rehabilitating disabled military veterans. Although comparative cost data are fragmentary, it appears from this limited information that OIC/L is performing effectively. (See Tables 1 and 2.) OIC/L has, in addition, introduced a number of significant innovations which set it apart from the others. These include: an accelerated course schedule, individualized instruction, counseling and placement on jobs. They are accomplishing these objectives to a fair degree. They also are trying to involve the community in the support of the school. Although slow in coming, evidence of success in this area is accumulating and is judged satisfactory by the consultants. Industrial Training Fund (ITF) staff, seven in all, were assigned to the task to introduce them to evaluation techniques. They were totally involved throughout. Their reviews of OIC/L all recommended ITF support with varying degrees of emphasis. The consultants concur in this recommendation.","","Special Evaluation","Documents","AID/CM/OTR-C-73-198","","1/1/1974 12:00:00 AM","","Private voluntary organizations|Skilled workers|Training centers|Vocational training","Nigeria","http://pdf.usaid.gov/pdf_docs/PNAAB177.pdf","2,434 KB","000592 - Industrial Training Fund|000256 - American Technical Assistance Corp. (ATAC)","","","English","application/pdf","Comparative effect evaluation","","Beard, Eugene|Bernhart, Richard V.","Vocational training","1974","","","Contract report, no. OAD-CR-65","Report on evaluation of opportunities industrial centre, Lagos, Nigeria","","PN-AAB-177","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU1OTIz","Nigeria",""
"Evaluates general rural development problems in Ethiopia based on a brief observation of the Ada agricultural development project. The project is designed to provide the Ada district with new technology, infrastructure, and local institutions to increase small farmer income. The author spent two weeks in Ethiopia interviewing government officials and Ada project staff as well as a number of farmers and local officials. In his analysis of the national policy constraints to rural development, the author gives special emphasis to expanding and improving agricultural production research.  This warrants emphasis because (1) a basic, solid core of research institutions already exists and (2) without expanded research, Ethiopia will soon lack profitable recommendations to farmers.  The first priority for the experiment station system must remain with the basic food crops. Ethiopia is presently following the ""extensive approach"" to rural development which provides broad areas of the country with a basic ""minimum package program"".  Despite the simplicity of the present technical package there is a clear need for increased technical knowledge and for modification of the package to suit specific conditions. The Ada project, by contrast, is an intensive effort in a small area. The role of intensive projects such as Ada should be to serve as a focus for experimentation on ways to improve the existing package and to set priorities for its expansion.  To this end, the author recommends that the Ada project intensify experimentation and testing in order to improve that basic technology package.  The working relationship between Ada and the Debra Zeit experiment station should be expanded; different extension techniques should be analyzed and compared; and different ways of organizing farmers for provision of marketing services should be tested, including crop storage and handling techniques.  More experimentation is needed to find the most effective way of organizing farmers for infrastructure projects, especially roads.  All these recommendations will require an expanded project staff including more evaluation experts.","","Special Evaluation","Documents","AID/TA-C-1131","","1/1/1974 12:00:00 AM","","Development projects|Rural development|Agricultural policy|Agricultural development|Agricultural research|Beneficiary interviews","Ethiopia","http://pdf.usaid.gov/pdf_docs/PNAAB284.pdf","3,719 KB","000395 - Cornell University","","","English","application/pdf","Sector level evaluation|Indepth evaluation|Onsite evaluation","","Mellor, John W.","Agricultural development","1974","","","","Report on rural development issues in Ethiopia : problems and prescriptions with special reference to EPID and the Ada project","","PN-AAB-284","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU2MDI3","Ethiopia","6630162"
"THIS SUMMARY REPORT IS VOLUME 1 OF A FOUR-VOLUME REPORT ON THE AGRICULTURAL ""SECTOR APPROACH"" AS APPLIED IN COLOMBIA, COSTA RICA AND GUATEMALA. THE TEAM'S PRINCIPAL FINDINGS AND CONCLUSIONS ARE: THE APPROACH HAS BEEN EFFECTIVE, IT HAS MADE POSSIBLE DIALOG CONCERNING SECTOR PROBLEMS, AND IT HAS PERMITTED THOSE PROBLEMS TO BE CONSIDERED IN A HOLISTIC CONTEXT. IT HAS DIRECTED ATTENTION TO THE NEGLECT OF THE SMALL FARMER. SECTOR ANALYSES ARE NOT YET ADEQUATE AS A BASIS FOR STRATEGY AND PROGRAM REVISIONS. EXISTING PROGRAMS HAVE BEEN MOST SUCCESSFUL IN STRENGTHENING THE INSTITUTIONAL BASE FOR DEALING WITH SECTOR PROBLEMS AND BRINGING SERVICES TO THE SMALL FARMER. HOWEVER, THE PROGRAMS HAVE NOT YET DEMONSTRATED THAT DIRECT PROVISION OF PRODUCTION CREDIT AND TECHNICAL ASSISTANCE TO SMALL FARMERS BY PUBLIC AGENCIES IS THE BEST MEANS OF IMPROVING THE WELFARE OF MOST OF THE RURAL POPULATION. THERE IS A NEED TO DO FOUR THINGS: (1) ESTABLISH IN EACH PROGRAM AN EVALUATION PROCESS; (2) CONSIDER ALTERNATIVE APPROACHES TO IMPROVEMENT OF THE WELFARE OF SMALL FARMERS; (3) REVIEW AID CRITERIA AND PROCEDURES AND ADAPT THEM TO MEET THE NEEDS OF THE SECTOR APPROACH; AND (4) PROVIDE AID STAFF WITH THE SKILLS NECESSARY TO MEET TECHNICAL, MANAGERIAL, ANALYTICAL, AND EVALUATIVE REQUIREMENTS.","Summarizes the following country rpts. - Colombia: PN-AAD-109,|Costa Rica: PN-AAD-110, and Guatemala: PN-AAD-111","Special Evaluation","Documents","","","6/1/1974 12:00:00 AM","","Agricultural development|Sector evaluation","Colombia|Costa Rica|Guatemala","http://pdf.usaid.gov/pdf_docs/PNAAD108.pdf","1,785 KB","000108 - USAID. Bur. for Latin America. Ofc. of Development Programs","","","English","application/pdf","","","Hutchinson, Edmond|Montrie, Charles|et al.","Agriculture (General)","Jun 1974","","","Program evaluation studies","Intercountry evaluation of agriculture sector programs : Colombia, Costa Rica, and Guatemala, vol. 1, summary report","","PN-AAD-108","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3ODEy","",""
"THIS STUDY EVALUATES AND PROVIDES A BASIS FOR THE DEVELOPMENT OF GENERAL POLICY AND ADJUSTMENTS IN CURRENT AGRICULTURE SECTOR PROGRAMS. IT IS THE SECOND VOLUME OF A FOUR-VOLUME REPORT. THE PRINCIPAL FINDINGS: COLOMBIAN AGRICULTURAL DEVELOPMENT HAS PROGRESSED RAPIDLY IN THE PAST DECADE. PRODUCTION AND EXPORT OF COMMERCIAL AGRICULTURAL PRODUCTS HAVE INCREASED SIGNIFICANTLY. THE GOVERNMENT HAS ORGANIZED A STRUCTURE OF PUBLIC AGENCIES SUITABLE FOR DEALING WITH AGRICULTURAL PROBLEMS. AID'S PROGRAMS CAN TAKE MAJOR CREDIT FOR THE FACT THAT COLOMBIA HAS A NEW GENERATION OF OFFICIALS TRAINED TO HANDLE COLOMBIA'S AGRICULTURAL DEVELOPMENT PROBLEMS. THE SECTOR APPROACH IN COLOMBIA HAS RESULTED IN MORE INTEGRATED THINKING ABOUT AGRICULTURAL PROBLEMS. IT HAS PROVIDED A BASE FOR CONSIDERATION OF SIGNIFICANT QUESTIONS AND DEVELOPMENT OF EFFECTIVE POLICIES. THE ADVANCES DESCRIBED HAVE NOT YET SUCCEEDED IN OBTAINING NEEDED INCREASES IN OVERALL AGRICULTURAL PRODUCTION, PRODUCTIVITY, AND INCOME, ALTHOUGH THE PRODUCTION AND INCOME OF SOME FARMERS HAVE INCREASED. TASKS YET TO BE COMPLETED INCLUDE DEFINING WHAT SPECIFIC PROBLEMS IN AGRICULTURE ARE TO BE ADDRESSED, HOW THEY ARE TO BE ATTACKED, AND HOW MUCH CAN BE ACCOMPLISHED.","Summary of intercountry, overall evaluation: PN-AAD-108","Special Evaluation","Documents","","","1/1/1974 12:00:00 AM","","Agricultural development|Agricultural planning|Agricultural policy|Agricultural production|Farm income","Colombia","http://pdf.usaid.gov/pdf_docs/PNAAD109.pdf","2,350 KB","000108 - USAID. Bur. for Latin America. Ofc. of Development Programs","","","English","application/pdf","","","Hutchinson, Edmond|Montrie, Charles|et al.","Agriculture (General)","1974","","","Program evaluation studies","Intercountry evaluation of agriculture sector programs : Colombia country program","","PN-AAD-109","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3ODEz","Colombia",""
"THE AGRICULTURE ""SECTOR APPROACH"" AS APPLIED IN COSTA RICA IS EVALUATED IN THIS THIRD VOLUME OF A FOUR-VOLUME REPORT. THE BASIC PROGRAM CONCEPT AND DESIGN IS LOGICAL AND INTERNALLY CONSISTENT. IT FOCUSES ON PROVIDING ASSISTANCE TO SMALL FARMERS WHO PRODUCE PRIMARILY FOR THE DOMESTIC MARKET. HOWEVER, THE RESULTS MAY FALL CONSIDERABLY SHORT OF EXPECTATIONS. THE TECHNICAL ASSISTANCE AND CREDIT PROGRAMS MAY NOT PRODUCE PRODUCTION AND INCOME INCREASES FOR BROAD AREAS OF THE FARM POPULATION. MOREOVER, IT MAY NOT BE POSSIBLE FOR ONE AGENCY TO PLAN AND COORDINATE PROGRAMS EXECUTED BY AGENCIES OVER WHICH IT HAS NO CONTROL. THE CAN, CANCITOS, AND MINISTRY OPERATIONS NEED TO BE REORGANIZED AND INTEGRATED. A CONTINUING PROGRAM OF EVALUATION NEEDS TO BE INITIATED. THE MISSION SHOULD WORK WITH APPROPRIATE MAG OFFICIALS TO DEVELOP A CONTINUING INFORMATION SYSTEM FOR THE AGRICULTURAL SECTOR. CURRENT USAID ATTEMPTS TO USE EXISTING PRODUCER ORGANIZATIONS AS AN ADDITIONAL MEANS OF REACHING SMALL FARMERS SHOULD BE ENCOURAGED AND EXPANDED. THE LOAN GUARANTEE FUND IN THE CREDIT PROJECT AND THE GUARANTEE FUND FOR LAND PURCHASES IN THE LAND TENURE PROJECT ARE IMAGINATIVE INNOVATIONS THAT SHOULD BE EXPANDED AND STRENGTHENED AS PILOT EFFORTS.","Summary of overall, intercountry evaluations: PN-AAD-108","Special Evaluation","Documents","","","1/1/1974 12:00:00 AM","","Government policy|Development project planning|Sector evaluation|Agricultural development|Agricultural credit|Agricultural extension|Government departments|Land tenure|Agricultural cooperatives","Costa Rica","http://pdf.usaid.gov/pdf_docs/PNAAD110.pdf","2,860 KB","000108 - USAID. Bur. for Latin America. Ofc. of Development Programs","","","English","application/pdf","","","Hutchinson, Edmond|Montrie, Charles|et al.","Agriculture (General)","1974","","","Program evaluation studies","Intercountry evaluation of agriculture sector programs : Costa Rica country program","","PN-AAD-110","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3ODE0","Costa Rica","5150117|5150038"
"THE AGRICULTURAL DEVELOPMENT PROGRAM IS CONSIDERED AN IMPORTANT FACTOR FOR IMPROVING INCOME DISTRIBUTION BY RAISING THE INCOME LEVELS OF SMALL FARMERS AND LOWERING THE COST TO THE CONSUMER OF CERTAIN BASIC ARTICLES. THE PROGRAM SEEKS TO INCREASE THE PRODUCTIVITY OF THE AGRICULTURAL SECTOR OF THE GUATEMALAN ECONOMY BY ENCOURAGING FARMERS TO DIVERSIFY THEIR GRAIN CROPS, BY DEVELOPING HUMAN RESOURCES (E.G., VOCATIONAL SCHOOLS) AND BY AIDING THE FINANCING OF ARTISANRY ACTIVITIES. THE BACKGROUND AND DEVELOPMENT OF THE PROGRAM, THE TARGET GROUP, REASONS FOR NOT MEETING PROGRAMMED CREDIT INPUT GOALS, AND OUTPUT EVALUATION ARE DISCUSSED. OTHER ANALYSIS PROJECTS FOR CONSIDERATION ARE ALSO SUGGESTED.","Summary of overall, intercountry evaluations: PN-AAD-110","Special Evaluation","Documents","","","1/1/1974 12:00:00 AM","","Government policy|Agricultural development|Agricultural management|Sector evaluation|Technical assistance","Guatemala","http://pdf.usaid.gov/pdf_docs/PNAAD111.pdf","13,691 KB","000108 - USAID. Bur. for Latin America. Ofc. of Development Programs","","","English","application/pdf","","","Hutchinson, Edmond|Montrie, Charles|et al.","Agriculture (General)","1974","","","","Intercountry evaluation of agriculture sector programs : Guatemala country program","","PN-AAD-111","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3ODE1","Guatemala",""
"REVIEWS THE STATUS OF AID SUPPORTED CADASTRAL PROGRAMS IN CENTRAL AMERICA, INCLUDING THE BACKGROUND OF SUCH PROGRAMS, A SUMMARY OF IMPLEMENTATION AND GOALS ACCOMPLISHED, AND THE MAJOR PROBLEMS OF PAST PROGRAMS. THE NEED FOR MORE PRECISION IN DEFINITION OF PURPOSE, A NARROWER FOCUS FOR THE STUDY, IMPROVED PROJECT DESIGN, AND INTEGRATION INTO A COMPREHENSIVE COUNTRY PROGRAM STRATEGY ARE STRESSED. THE RELATION OF THE CADASTRAL PROGRAM TO PROPERTY TAX IMPROVEMENT, LAND REFORM, AND NATURAL RESOURCES INVENTORIES IS DISCUSSED. A ""PHASED"" APPROACH IS SUGGESTED UNDER WHICH A SCALED DOWN VERSION OF A COMPLETE PROGRAM WOULD BE REQUIRED BEFORE GOING ON TO A SECOND AND EXPANDED PHASE. A DETAILED ACCOUNTING OF THE PURPOSE, IMPLEMENTATION, AND ACCOMPLISHMENTS OF PROJECT GOALS IN COSTA RICA, GUATEMALA, NICARAGUA, AND PANAMA IS ALSO PRESENTED. THE PROGRAM CAME CLOSET TO MEETING PROJECT GOALS IN NICARAGUA AND GUATEMALA.","Prefaced by USAID bibliographic input sheet","Special Evaluation","Documents","","","6/1/1974 12:00:00 AM","","Cadasters|Public land records|Land surveys|Technical assistance","Central America|Costa Rica|Guatemala|Nicaragua|Panama","http://pdf.usaid.gov/pdf_docs/PNAAD113.pdf","1,956 KB","000108 - USAID. Bur. for Latin America. Ofc. of Development Programs","","","English","application/pdf","","","Goldstein, Bernice A.","Agricultural economics","Jun 1974","","","Program evaluation studies","Intercountry evaluation of cadastral programs : Costa Rica, Guatemala, Nicaragua, and Panama","","PN-AAD-113","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3ODE3","",""
"The student loan movement in Latin America is growing steadily in size and influence.  This study reviews A.I.D.'s experience in assisting education credit institutions to assess the strengths and weaknesses of student loan programs and provides comparative information as a basis for future program decisions and project design. In 1964, there were only four national credit institutions in Latin American and the Caribbean.  By 1973, there were 17 such institutions (with total budgets well over $30 million), with plans for two more underway.  The existence of these education credit institutions has stimulated a variety of new sources of education financing, including national government ministries, municipal governments, private businesses, interested individuals, and foreign donors, but has also helped to create acceptance for the idea that students should undertake greater financial responsibility for their own education.  Moreover, these institutions appear to be financing a larger proportion of students in key fields than are represented in the general student body and making it possible for students to finish their training within a shorter period of time.  Education credit institutions are most effective if they administer a wide range of programs and if they are involved as well in manpower planning, vocational and academic guidance, education-related research, job placement, and the development of imaginative proposals for further expansion of educational opportunities and financing. A review of published literature on student loan programs is included, along with a list of the characteristics and problems of representative institutions, an outline of education credit programs in Brazil, and summary tables.","","Special Evaluation","Documents","","","1/1/1974 12:00:00 AM","","Educational finance|Financial institutions|Credit|Student loans","Latin America|Brazil|Caribbean|Colombia|Honduras|Dominican Republic","http://pdf.usaid.gov/pdf_docs/PNAAD114.pdf","2,488 KB","000108 - USAID. Bur. for Latin America. Ofc. of Development Programs","","","English","application/pdf","","","Herrick, Allison B.|Sharlach, Howard R.|Seville, Linda","Education administration","1974","","","Program evaluation studies","Intercountry evaluation of education credit institutions in Latin America","","PN-AAD-114","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU3ODE4","Dominican Republic","5140165|5170104|5220101"
"AN INTERNATIONAL EVALUATION UNIT WAS ATTACHED TO THE EDUCATIONAL TELEVISION (ETV) PROGRAM IN IVORY COAST TO ANALYZE ITS PROBLEMS AND TO PROVIDE ITS DECISIONMAKERS WITH INFORMATION TO FACILITATE MORE EFFECTIVE ACHIEVEMENT TO THE PROGRAM'S GOALS. THIS REPORT GIVES A BRIEF DESCRIPTION OF THE ETV PROGRAM AND OF THE UNIT'S WORK IN PRIMARY AND OUT-OF-SCHOOL EDUCATION SECTORS WHERE THE EVALUATION DEALT WITH PEDAGOGICAL, ECONOMIC, TECHNICAL, AND MANAGERIAL CONCERNS. INDICATIONS OF EXPECTED CHANGES RESULTING FROM THE EVALUATION ARE OUTLINED. GOALS OF THE COUNTRY'S ETV PROGRAM ARE: (1) MORE EQUITABLE DISTRIBUTION OF EDUCATIONAL FACILITIES THROUGHOUT THE COUNTRY, (2) A LINK BETWEEN EDUCATIONAL EXPANSION AND REGIONAL DEVELOPMENT PLANS, THUS CREATING JOB OPPORTUNITIES IN RURAL AREAS FOR GRADUATES FROM THE SYSTEM, AND (3) IMPROVED TEACHING AND LEARNING EFFICIENCY OF THE SYSTEM TO REDUCE UNIT COSTS. THE UNIT'S EVALUATIVE DATA ON THIS PROGRAM ARE DESCRIBED AS THEY MIGHT APPLY TO SIMILAR PROGRAMS IN OTHER COUNTRIES.","Research summary","Final Evaluation Report","Documents","AID/afr-828","","1/1/1974 12:00:00 AM","","Educational materials|Educational television|Communications technology","Ivory Coast","http://pdf.usaid.gov/pdf_docs/PNAAD858.pdf","528 KB","000223 - Academy for Educational Development, Inc. (AED)","","","English","application/pdf","","","","Educational development","1974","","","","Evaluation unit of educational television program, Republic of Ivory Coast; final report","","PN-AAD-858","https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MTU4NTIx","Ivory Coast [Cote d'Ivoire]",""
